timestamp,(0,34);(14,17);(25,24);(8,13);(8,22);(14,10);(14,11);(28,27);(28,29);(28,30);(2,3);(2,32);(5,4);(9,12);(23,15);(23,19);(23,20);(18,21);(6,7);(2,16);(25,26);(33,1);(33,31);(34,9);(9,18);(18,2);(2,5);(5,23);(23,25);(25,28);(28,14);(14,8);(8,6);(6,33);(33,34);(25,25.1);(8,8.1);(14,14.1);(28,28.1);(2,2.1);(5,5.1);(9,9.1);(23,23.1);(18,18.1);(6,6.1);(33,33.1);(34,34.1)
1772830648.5094676;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;97.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;80.00;0.00;0.00;0.00;0.00;0.00;0.00;80.00;0.00;0.00;0.00;0.00;0.00;0.00;177.00;0.00;0.00;0.00;0.00
1772830648.5103488;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;97.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;80.00;0.00;0.00;0.00;0.00;0.00;0.00;80.00;0.00;0.00;0.00;0.00;0.00;0.00;177.00;0.00;0.00;0.00;0.00
1772830648.5400684;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;194.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;224.67;80.00;0.00;0.00;0.00;0.00;0.00;304.67;0.00;0.00;80.00;0.00;0.00;0.00;289.33;0.00;0.00;0.00;0.00
1772830648.5407863;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;194.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;224.67;80.00;0.00;0.00;0.00;0.00;0.00;304.67;0.00;0.00;80.00;0.00;0.00;0.00;289.33;0.00;0.00;0.00;0.00
1772830648.569965;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;291.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;321.67;160.00;80.00;0.00;0.00;0.00;0.00;481.67;0.00;80.00;80.00;0.00;0.00;0.00;289.33;0.00;0.00;0.00;0.00
1772830648.5706265;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;291.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;321.67;160.00;80.00;0.00;0.00;0.00;0.00;481.67;0.00;80.00;80.00;0.00;0.00;0.00;289.33;0.00;0.00;0.00;0.00
1772830648.5994413;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;64.67;354.00;240.00;160.00;80.00;0.00;0.00;0.00;594.00;80.00;80.00;240.00;0.00;64.67;0.00;289.33;0.00;0.00;0.00;0.00
1772830648.6001127;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;64.67;354.00;240.00;160.00;80.00;0.00;0.00;0.00;594.00;80.00;80.00;240.00;0.00;64.67;0.00;289.33;0.00;0.00;0.00;0.00
1772830648.6293464;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;485.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;160.00;129.34;386.33;320.00;160.00;80.00;0.00;0.00;0.00;706.33;80.00;80.00;550.00;160.00;289.34;0.00;289.33;0.00;0.00;0.00;0.00
1772830648.6300764;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;485.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;160.00;129.34;386.33;320.00;160.00;80.00;0.00;0.00;0.00;706.33;80.00;80.00;550.00;160.00;289.34;0.00;289.33;0.00;0.00;0.00;0.00
1772830648.6597378;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;160.00;160.00;480.00;226.34;386.33;320.00;160.00;80.00;0.00;0.00;0.00;706.33;80.00;80.00;550.00;320.00;776.34;160.00;289.33;0.00;0.00;0.00;0.00
1772830648.6605208;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;160.00;160.00;480.00;226.34;386.33;320.00;160.00;80.00;0.00;0.00;0.00;706.33;80.00;80.00;550.00;320.00;776.34;160.00;289.33;0.00;0.00;0.00;0.00
1772830668.54993;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;679.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;160.00;160.00;592.33;258.67;451.00;384.67;160.00;80.00;0.00;0.00;0.00;706.33;80.00;80.00;614.67;432.33;926.34;160.00;289.33;0.00;0.00;0.00;0.00
1772830668.5508244;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;679.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;160.00;160.00;592.33;258.67;451.00;384.67;160.00;80.00;0.00;0.00;0.00;706.33;80.00;80.00;614.67;432.33;926.34;160.00;289.33;0.00;0.00;0.00;0.00
1772830668.5817285;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;776.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;240.00;240.00;624.66;291.00;515.67;449.34;160.00;80.00;0.00;0.00;0.00;706.33;80.00;80.00;679.34;544.66;926.34;310.00;289.33;160.00;0.00;0.00;0.00
1772830668.5825722;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;776.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;240.00;240.00;624.66;291.00;515.67;449.34;160.00;80.00;0.00;0.00;0.00;706.33;80.00;80.00;679.34;544.66;926.34;310.00;289.33;160.00;0.00;0.00;0.00
1772830668.6127772;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;873.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;240.00;240.00;624.66;291.00;612.67;546.34;320.00;80.00;0.00;0.00;0.00;706.33;80.00;240.00;1166.34;544.66;926.34;310.00;289.33;160.00;0.00;0.00;0.00
1772830668.613627;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;873.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;240.00;240.00;624.66;291.00;612.67;546.34;320.00;80.00;0.00;0.00;0.00;706.33;80.00;240.00;1166.34;544.66;926.34;310.00;289.33;160.00;0.00;0.00;0.00
1772830668.6439083;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;970.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;614.67;304.67;689.33;355.67;692.67;546.34;320.00;80.00;0.00;0.00;0.00;856.33;80.00;240.00;1166.34;544.66;926.34;684.67;289.33;470.00;0.00;0.00;0.00
1772830668.644781;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;970.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;614.67;304.67;689.33;355.67;692.67;546.34;320.00;80.00;0.00;0.00;0.00;856.33;80.00;240.00;1166.34;544.66;926.34;684.67;289.33;470.00;0.00;0.00;0.00
1772830668.674759;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1067.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;614.67;304.67;689.33;355.67;837.34;611.01;384.67;80.00;0.00;0.00;0.00;1006.33;80.00;304.67;1166.34;544.66;926.34;684.67;289.33;470.00;0.00;0.00;0.00
1772830668.6757212;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1067.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;614.67;304.67;689.33;355.67;837.34;611.01;384.67;80.00;0.00;0.00;0.00;1006.33;80.00;304.67;1166.34;544.66;926.34;684.67;289.33;470.00;0.00;0.00;0.00
1772830668.7050464;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1164.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;614.67;304.67;689.33;355.67;982.01;675.68;449.34;240.00;0.00;0.00;0.00;1156.33;240.00;529.34;1166.34;544.66;926.34;684.67;289.33;470.00;0.00;0.00;0.00
1772830668.7060015;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1164.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;614.67;304.67;689.33;355.67;982.01;675.68;449.34;240.00;0.00;0.00;0.00;1156.33;240.00;529.34;1166.34;544.66;926.34;684.67;289.33;470.00;0.00;0.00;0.00
1772830688.5701776;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1164.00;0.00;0.00;0.00;97.00;0.00;0.00;0.00;97.00;711.67;401.67;689.33;355.67;982.01;675.68;449.34;240.00;80.00;240.00;240.00;1156.33;390.00;529.34;1166.34;544.66;926.34;684.67;289.33;470.00;160.00;320.00;337.00
1772830688.5712752;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1164.00;0.00;0.00;0.00;97.00;0.00;0.00;0.00;97.00;711.67;401.67;689.33;355.67;982.01;675.68;449.34;240.00;80.00;240.00;240.00;1156.33;390.00;529.34;1166.34;544.66;926.34;684.67;289.33;470.00;160.00;320.00;337.00
