timestamp,(0,34);(14,17);(25,24);(8,13);(8,22);(14,10);(14,11);(28,27);(28,29);(28,30);(2,3);(2,32);(5,4);(9,12);(23,15);(23,19);(23,20);(18,21);(6,7);(2,16);(25,26);(33,1);(33,31);(34,9);(9,18);(18,2);(2,5);(5,23);(23,25);(25,28);(28,14);(14,8);(8,6);(6,33);(33,34);(25,25.1);(8,8.1);(14,14.1);(28,28.1);(2,2.1);(5,5.1);(9,9.1);(23,23.1);(18,18.1);(6,6.1);(33,33.1);(34,34.1)
1772827681.942281;0.00;97.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;240.00;310.00;310.00;310.00;0.00;230.00;160.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;320.00;460.00
1772827681.9431946;0.00;97.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;240.00;310.00;310.00;310.00;0.00;230.00;160.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;320.00;460.00
1772827681.9670932;0.00;194.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;480.00;620.00;620.00;620.00;0.00;390.00;160.00;0.00;0.00;0.00;0.00;0.00;0.00;320.00;320.00;760.00
1772827681.9675255;0.00;194.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;480.00;620.00;620.00;620.00;0.00;390.00;160.00;0.00;0.00;0.00;0.00;0.00;0.00;320.00;320.00;760.00
1772827681.9845371;0.00;291.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;720.00;920.00;920.00;920.00;0.00;860.00;480.00;0.00;0.00;0.00;0.00;0.00;0.00;320.00;320.00;1060.00
1772827681.9849756;0.00;291.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;720.00;920.00;920.00;920.00;0.00;860.00;480.00;0.00;0.00;0.00;0.00;0.00;0.00;320.00;320.00;1060.00
1772827682.0032074;0.00;388.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;960.00;1220.00;1220.00;1220.00;0.00;1330.00;800.00;0.00;0.00;0.00;0.00;0.00;0.00;320.00;320.00;1360.00
1772827682.003755;0.00;388.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;960.00;1220.00;1220.00;1220.00;0.00;1330.00;800.00;0.00;0.00;0.00;0.00;0.00;0.00;320.00;320.00;1360.00
1772827682.0214374;0.00;485.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1200.00;1520.00;1520.00;1520.00;0.00;1800.00;1120.00;0.00;0.00;0.00;0.00;0.00;0.00;320.00;320.00;1660.00
1772827682.021909;0.00;485.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1200.00;1520.00;1520.00;1520.00;0.00;1800.00;1120.00;0.00;0.00;0.00;0.00;0.00;0.00;320.00;320.00;1660.00
1772827682.0393474;0.00;582.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1440.00;1820.00;1820.00;1820.00;0.00;2270.00;1440.00;0.00;0.00;0.00;0.00;0.00;0.00;320.00;320.00;1960.00
1772827682.0399477;0.00;582.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1440.00;1820.00;1820.00;1820.00;0.00;2270.00;1440.00;0.00;0.00;0.00;0.00;0.00;0.00;320.00;320.00;1960.00
1772827702.0276356;0.00;582.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;97.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;300.00;300.00;300.00;240.00;97.00;0.00;0.00;0.00;1440.00;1820.00;1820.00;1820.00;0.00;2270.00;1440.00;0.00;310.00;480.00;0.00;0.00;0.00;320.00;320.00;2260.00
1772827702.0282164;0.00;582.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;97.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;300.00;300.00;300.00;240.00;97.00;0.00;0.00;0.00;1440.00;1820.00;1820.00;1820.00;0.00;2270.00;1440.00;0.00;310.00;480.00;0.00;0.00;0.00;320.00;320.00;2260.00
