No.,timestamp,time_seconds,users,cpu_utilization,gpu_utilization,bandwidth_utilization,cache_utilization,network_cpu_utilization,network_gpu_utilization,network_cache_utilization,mobile_cpu_utilization,mobile_gpu_utilization,mobile_cache_utilization,latency,comp_latency,comm_latency,latency_diff,queue_time,decision_time_ms,success,fail_reason,sfc_id,recovery_time,sfc_recovered,cpu_saved,gpu_saved,cache_saved,shared_vnfs,running_sfcs,running_players,running_sessions,trascode_bw,crashing,acceptance_rate,cpu_per_flow,gpu_per_flow,cache_per_flow,jain_cpu,jain_gpu,jain_cache,jain_bw,server_energy_consumption,mobile_energy_consumption,total_energy_consumption,avg_sfc_reliability,high_risk_sfcs,medium_risk_sfcs,low_risk_sfcs
0,1772830730.7484596,0,1,0.0,0.0781,0.0025,0.0249,0.0,7.8117,2.4947,0.0,0.0,0.0,0.6,0.15,0.45,None,0.00028777122497558594,13.337,True,None,sfc_cache_p1_1,0,None,0.0,0.0,0.0,1,2,1,1,0,False,100.0,0.0,15.5,16.5,1.0,0.0833,0.04,0.0245,2105.5687973997833,2095.5687973997833,10.0,0.9956413867822318,0,0,2
0,1772830730.749276,0.0,1,0.0,0.0781,0.0025,0.0249,0.0,7.8117,2.4947,0.0,0.0,0.0,1.08,0.2,0.88,None,0.00028777122497558594,14.561,True,None,sfc_unique_p1_1,0,None,0.0,0.0,0.0,1,2,1,1,0,False,100.0,0.0,15.5,16.5,1.0,0.0833,0.04,0.0245,2105.5687973997833,2095.5687973997833,10.0,0.9956413867822318,0,0,2
0,1772830730.7803884,0.0,2,0.0,0.1453,0.0071,0.0499,0.0,14.5323,4.9894,0.0,0.0,0.0,0.74,0.16,0.58,None,0.03257942199707031,12.429,True,None,sfc_cache_p2_1,0,None,0.0,4.33,0.0,3,4,2,1,0,False,100.0,0.0,14.4175,16.5,1.0,0.0957,0.0769,0.0299,2135.4171180931744,2115.4171180931744,20.0,0.9928293650850012,0,0,4
0,1772830730.7813075,0.0,2,0.0,0.1453,0.0071,0.0499,0.0,14.5323,4.9894,0.0,0.0,0.0,1.08,0.2,0.88,None,0.03257942199707031,14.251,True,None,sfc_unique_p2_1,0,None,0.0,4.33,0.0,3,4,2,1,0,False,100.0,0.0,14.4175,16.5,1.0,0.0957,0.0769,0.0299,2135.4171180931744,2115.4171180931744,20.0,0.9928293650850012,0,0,4
0,1772830730.8112314,0.1,3,0.0,0.2234,0.0158,0.0748,0.0,22.344,7.4841,0.0,0.0,0.0,1.02,0.22,0.8,None,0.06401968002319336,12.366,True,None,sfc_cache_p3_1,0,None,0.0,4.33,0.0,4,6,3,1,0,False,100.0,0.0,14.778333333333334,16.5,1.0,0.2152,0.1111,0.0458,2195.7523213702375,2165.7523213702375,30.0,0.9821096300587909,0,1,5
0,1772830730.8118956,0.1,3,0.0,0.2234,0.0158,0.0748,0.0,22.344,7.4841,0.0,0.0,0.0,1.24,0.23,1.01,None,0.06401968002319336,13.643,True,None,sfc_unique_p3_1,0,None,0.0,4.33,0.0,4,6,3,1,0,False,100.0,0.0,14.778333333333334,16.5,1.0,0.2152,0.1111,0.0458,2195.7523213702375,2165.7523213702375,30.0,0.9821096300587909,0,1,5
0,1772830730.8409166,0.1,4,0.0,0.2906,0.0234,0.0998,0.0,29.0646,9.9788,0.0,0.0,0.0,1.16,0.3,0.86,None,0.09458732604980469,11.785,True,None,sfc_cache_p4_1,0,None,0.0,8.66,0.0,6,8,4,1,0,False,100.0,0.0,14.4175,16.5,1.0,0.2561,0.1429,0.0545,2243.8494205681277,2203.8494205681277,40.0,0.9757368728550511,0,2,6
0,1772830730.8416128,0.1,4,0.0,0.2906,0.0234,0.0998,0.0,29.0646,9.9788,0.0,0.0,0.0,1.24,0.23,1.01,None,0.09458732604980469,13.273,True,None,sfc_unique_p4_1,0,None,0.0,8.66,0.0,6,8,4,1,0,False,100.0,0.0,14.4175,16.5,1.0,0.2561,0.1429,0.0545,2243.8494205681277,2203.8494205681277,40.0,0.9757368728550511,0,2,6
0,1772830730.8700047,0.1,5,0.0039,0.3478,0.0343,0.1247,0.432,34.7772,12.4735,0.0,0.0,0.0,1.59,0.98,0.61,None,0.1243138313293457,11.272,True,None,sfc_cache_p5_1,0,None,0.0,12.99,0.0,9,10,5,1,0,False,100.0,0.4,13.800999999999998,16.5,0.0588,0.3121,0.1616,0.0584,2287.201511253404,2237.201511253404,50.0,0.9693388618443954,0,3,7
0,1772830730.8707168,0.1,5,0.0039,0.3478,0.0343,0.1247,0.432,34.7772,12.4735,0.0,0.0,0.0,1.42,0.22,1.2,None,0.1243138313293457,12.793,True,None,sfc_unique_p5_1,0,None,0.0,12.99,0.0,9,10,5,1,0,False,100.0,0.4,13.800999999999998,16.5,0.0588,0.3121,0.1616,0.0584,2287.201511253404,2237.201511253404,50.0,0.9693388618443954,0,3,7
