No.,timestamp,time_seconds,users,cpu_utilization,gpu_utilization,bandwidth_utilization,cache_utilization,network_cpu_utilization,network_gpu_utilization,network_cache_utilization,mobile_cpu_utilization,mobile_gpu_utilization,mobile_cache_utilization,latency,comp_latency,comm_latency,latency_diff,queue_time,decision_time_ms,success,fail_reason,sfc_id,recovery_time,sfc_recovered,cpu_saved,gpu_saved,cache_saved,shared_vnfs,running_sfcs,running_players,running_sessions,trascode_bw,crashing,acceptance_rate,cpu_per_flow,gpu_per_flow,cache_per_flow,jain_cpu,jain_gpu,jain_cache,jain_bw,server_energy_consumption,mobile_energy_consumption,total_energy_consumption,avg_sfc_reliability,high_risk_sfcs,medium_risk_sfcs,low_risk_sfcs
0,1772827682.1666086,0,1,0.0095,0.0554,0.0167,0.0249,0.972,5.5438,2.4947,0.0,0.0,0.0,3.77,2.31,1.46,None,0.0003008842468261719,5.129,True,None,sfc_cache_p1_1,0,None,0.0,0.0,0.0,0,2,1,1,0,False,100.0,4.5,11.0,16.5,0.152,0.1613,0.04,0.0661,2099.165633715525,2089.165633715525,10.0,0.7738797633712111,2,0,0
0,1772827682.167143,0.0,1,0.0095,0.0554,0.0167,0.0249,0.972,5.5438,2.4947,0.0,0.0,0.0,6.81,4.91,1.9,None,0.0003008842468261719,6.92,True,None,sfc_unique_p1_1,0,None,0.0,0.0,0.0,0,2,1,1,0,False,100.0,4.5,11.0,16.5,0.152,0.1613,0.04,0.0661,2099.165633715525,2089.165633715525,10.0,0.7738797633712111,2,0,0
0,1772827682.1863124,0.0,2,0.0237,0.0882,0.0321,0.0249,2.4839,8.8197,2.4947,0.0,0.0,0.0,3.73,2.27,1.46,None,0.01879119873046875,5.341,True,None,sfc_cache_p2_1,0,None,4.0,0.0,33.0,3,4,2,1,0,False,100.0,5.75,8.75,8.25,0.1615,0.2284,0.0385,0.0661,2153.8896808180975,2133.8896808180975,20.0,0.7542122924745112,4,0,0
0,1772827682.1868978,0.0,2,0.0237,0.0882,0.0321,0.0249,2.4839,8.8197,2.4947,0.0,0.0,0.0,6.73,4.84,1.9,None,0.01879119873046875,7.367,True,None,sfc_unique_p2_1,0,None,4.0,0.0,33.0,3,4,2,1,0,False,100.0,5.75,8.75,8.25,0.1615,0.2284,0.0385,0.0661,2153.8896808180975,2133.8896808180975,20.0,0.7542122924745112,4,0,0
0,1772827682.2075164,0.0,3,0.0372,0.11,0.0474,0.0249,3.9959,11.0044,2.4947,0.0,0.0,0.0,3.73,2.27,1.46,None,0.03859400749206543,5.361,True,None,sfc_cache_p3_1,0,None,8.0,4.33,66.0,7,6,3,1,0,False,100.0,6.166666666666667,7.278333333333333,5.5,0.1272,0.2438,0.037,0.0661,2191.613727920669,2161.613727920669,30.0,0.7161932114473034,6,0,0
0,1772827682.2079864,0.0,3,0.0372,0.11,0.0474,0.0249,3.9959,11.0044,2.4947,0.0,0.0,0.0,6.73,4.84,1.9,None,0.03859400749206543,7.522,True,None,sfc_unique_p3_1,0,None,8.0,4.33,66.0,7,6,3,1,0,False,100.0,6.166666666666667,7.278333333333333,5.5,0.1272,0.2438,0.037,0.0661,2191.613727920669,2161.613727920669,30.0,0.7161932114473034,6,0,0
0,1772827682.2262442,0.1,4,0.05,0.1319,0.0626,0.0249,5.5078,13.1892,2.4947,0.0,0.0,0.0,3.73,2.27,1.46,None,0.05955171585083008,4.944,True,None,sfc_cache_p4_1,0,None,12.0,8.66,99.0,11,8,4,1,0,False,100.0,6.375,6.5425,4.125,0.1835,0.295,0.0357,0.0662,2237.0127750232414,2197.0127750232414,40.0,0.7072343621760268,8,0,0
0,1772827682.22683,0.1,4,0.05,0.1319,0.0626,0.0249,5.5078,13.1892,2.4947,0.0,0.0,0.0,7.09,5.2,1.9,None,0.05955171585083008,6.786,True,None,sfc_unique_p4_1,0,None,12.0,8.66,99.0,11,8,4,1,0,False,100.0,6.375,6.5425,4.125,0.1835,0.295,0.0357,0.0662,2237.0127750232414,2197.0127750232414,40.0,0.7072343621760268,8,0,0
0,1772827682.246546,0.1,5,0.0618,0.1537,0.0777,0.0249,7.0197,15.374,2.4947,0.0,0.0,0.0,3.73,2.27,1.46,None,0.07846188545227051,5.224,True,None,sfc_cache_p5_1,0,None,16.0,12.99,132.0,15,10,5,1,0,False,100.0,6.5,6.101,3.3,0.1828,0.322,0.0345,0.0662,2278.3846792686704,2228.3846792686704,50.0,0.6925511865925451,10,0,0
0,1772827682.2470253,0.1,5,0.0618,0.1537,0.0777,0.0249,7.0197,15.374,2.4947,0.0,0.0,0.0,7.09,5.2,1.9,None,0.07846188545227051,7.201,True,None,sfc_unique_p5_1,0,None,16.0,12.99,132.0,15,10,5,1,0,False,100.0,6.5,6.101,3.3,0.1828,0.322,0.0345,0.0662,2278.3846792686704,2228.3846792686704,50.0,0.6925511865925451,10,0,0
