No.,timestamp,time_seconds,users,cpu_utilization,gpu_utilization,bandwidth_utilization,cache_utilization,network_cpu_utilization,network_gpu_utilization,network_cache_utilization,mobile_cpu_utilization,mobile_gpu_utilization,mobile_cache_utilization,latency,comp_latency,comm_latency,latency_diff,queue_time,decision_time_ms,success,fail_reason,sfc_id,recovery_time,sfc_recovered,cpu_saved,gpu_saved,cache_saved,shared_vnfs,running_sfcs,running_players,running_sessions,trascode_bw,crashing,acceptance_rate,cpu_per_flow,gpu_per_flow,cache_per_flow,jain_cpu,jain_gpu,jain_cache,jain_bw,server_energy_consumption,mobile_energy_consumption,total_energy_consumption,avg_sfc_reliability,high_risk_sfcs,medium_risk_sfcs,low_risk_sfcs
0,1772828714.7646117,0,1,0.0215,0.0269,0.0134,0.0249,2.1956,2.6887,2.4947,0.0,0.0,0.0,3.41,2.83,0.59,None,0.00022983551025390625,22.939,True,None,sfc_cache_p1_1,0,None,0.0,0.0,0.0,0,2,1,1,0,False,100.0,10.165,5.335,16.5,0.1427,0.1132,0.04,0.0295,2098.4571428571426,2088.4571428571426,10.0,0.8765129814441985,0,2,0
0,1772828714.765539,0.0,1,0.0215,0.0269,0.0134,0.0249,2.1956,2.6887,2.4947,0.0,0.0,0.0,4.81,3.81,1.0,None,0.00022983551025390625,25.874,True,None,sfc_unique_p1_1,0,None,0.0,0.0,0.0,0,2,1,1,0,False,100.0,10.165,5.335,16.5,0.1427,0.1132,0.04,0.0295,2098.4571428571426,2088.4571428571426,10.0,0.8765129814441985,0,2,0
0,1772828714.8230903,0.1,2,0.0333,0.0538,0.0267,0.0249,3.4915,5.3775,2.4947,0.0,0.0,0.0,3.41,2.83,0.59,None,0.05938839912414551,22.4,True,None,sfc_cache_p2_1,0,None,8.33,0.0,33.0,4,4,2,1,0,False,100.0,8.0825,5.335,8.25,0.128,0.1132,0.0385,0.0295,2143.989285714286,2123.989285714286,20.0,0.8439695675405258,4,0,0
0,1772828714.8237948,0.1,2,0.0333,0.0538,0.0267,0.0249,3.4915,5.3775,2.4947,0.0,0.0,0.0,4.81,3.81,1.0,None,0.05938839912414551,26.111,True,None,sfc_unique_p2_1,0,None,8.33,0.0,33.0,4,4,2,1,0,False,100.0,8.0825,5.335,8.25,0.128,0.1132,0.0385,0.0295,2143.989285714286,2123.989285714286,20.0,0.8439695675405258,4,0,0
0,1772828714.8813446,0.1,3,0.0448,0.0807,0.0401,0.0249,4.7875,8.0662,2.4947,0.0,0.0,0.0,3.41,2.83,0.59,None,0.11760115623474121,22.415,True,None,sfc_cache_p3_1,0,None,16.66,0.0,66.0,8,6,3,1,0,False,100.0,7.388333333333333,5.335,5.5,0.1174,0.1132,0.037,0.0295,2173.52,2143.52,30.0,0.8122456041669269,6,0,0
0,1772828714.8820658,0.1,3,0.0448,0.0807,0.0401,0.0249,4.7875,8.0662,2.4947,0.0,0.0,0.0,4.81,3.81,1.0,None,0.11760115623474121,26.037,True,None,sfc_unique_p3_1,0,None,16.66,0.0,66.0,8,6,3,1,0,False,100.0,7.388333333333333,5.335,5.5,0.1174,0.1132,0.037,0.0295,2173.52,2143.52,30.0,0.8122456041669269,6,0,0
0,1772828714.938712,0.2,4,0.0559,0.1075,0.0548,0.0249,6.0834,10.755,2.4947,0.0,0.0,0.0,3.41,2.83,0.59,None,0.1758584976196289,21.988,True,None,sfc_cache_p4_1,0,None,24.99,0.0,99.0,12,8,4,1,0,False,100.0,7.04125,5.335,4.125,0.1089,0.1557,0.0357,0.0287,2218.3542857142857,2178.3542857142857,40.0,0.7817571038406927,8,0,0
0,1772828714.939484,0.2,4,0.0559,0.1075,0.0548,0.0249,6.0834,10.755,2.4947,0.0,0.0,0.0,4.83,3.81,1.02,None,0.1758584976196289,25.343,True,None,sfc_unique_p4_1,0,None,24.99,0.0,99.0,12,8,4,1,0,False,100.0,7.04125,5.335,4.125,0.1089,0.1557,0.0357,0.0287,2218.3542857142857,2178.3542857142857,40.0,0.7817571038406927,8,0,0
0,1772828714.9958847,0.2,5,0.0662,0.1344,0.0696,0.0249,7.3794,13.4437,2.4947,0.0,0.0,0.0,3.41,2.83,0.59,None,0.2282116413116455,22.076,True,None,sfc_cache_p5_1,0,None,33.32,0.0,132.0,16,10,5,1,0,False,100.0,6.833,5.335,3.3,0.1017,0.1666,0.0345,0.0283,2247.125,2197.125,50.0,0.7521212692573559,10,0,0
0,1772828714.996671,0.2,5,0.0662,0.1344,0.0696,0.0249,7.3794,13.4437,2.4947,0.0,0.0,0.0,4.83,3.81,1.02,None,0.2282116413116455,25.212,True,None,sfc_unique_p5_1,0,None,33.32,0.0,132.0,16,10,5,1,0,False,100.0,6.833,5.335,3.3,0.1017,0.1666,0.0345,0.0283,2247.125,2197.125,50.0,0.7521212692573559,10,0,0
