Wall time,Step,Value
1762338932.8017123,1000,-164.52618408203125
1762338935.9975288,2000,-128.34263610839844
1762338940.3698049,3000,-155.0744171142578
1762338943.3176057,4000,-149.7320098876953
1762338948.0051267,5000,-149.86895751953125
1762338950.8430598,6000,-130.79806518554688
1762338955.5574517,7000,-136.02761840820312
1762338959.0647924,8000,-103.17537689208984
1762338964.147842,9000,-133.55560302734375
1762338967.7239168,10000,-117.0907211303711
1762338972.8797665,11000,-122.05250549316406
1762338976.5308506,12000,-137.68011474609375
1762338981.896956,13000,-106.59585571289062
1762338985.1792705,14000,-119.54623413085938
1762338990.7437274,15000,-142.46075439453125
1762338994.1974897,16000,-109.77600860595703
1762338999.1660202,17000,-106.08866882324219
1762339002.8285816,18000,-82.70030212402344
1762339008.0081036,19000,-78.66324615478516
1762339011.4839158,20000,-119.20274353027344
1762339016.835184,21000,-84.98577117919922
1762339020.3277218,22000,-71.66191101074219
1762339026.2979224,23000,-91.84036254882812
1762339030.4466062,24000,-98.23307037353516
1762339036.839148,25000,-51.21440505981445
1762339041.0295184,26000,-51.10911560058594
1762339047.0981479,27000,-74.19422912597656
1762339050.9956155,28000,-61.24259948730469
1762339057.6792965,29000,-44.9046516418457
1762339062.5575662,30000,-69.86310577392578
1762339068.8162982,31000,-54.580039978027344
1762339073.2105467,32000,-58.407196044921875
1762339079.1780477,33000,-53.32353591918945
1762339082.9909942,34000,-75.22179412841797
1762339088.7648485,35000,-56.164817810058594
1762339092.452604,36000,-63.3017578125
1762339098.3872201,37000,-61.58129119873047
1762339102.4137397,38000,-69.86532592773438
1762339108.945836,39000,-52.6686897277832
1762339112.930196,40000,-32.95978927612305
1762339118.8727,41000,-41.95732879638672
1762339122.9189765,42000,-37.55274963378906
1762339126.668179,43000,-23.79071807861328
1762339132.770058,44000,-11.24199390411377
1762339136.6469598,45000,-30.093172073364258
1762339142.75552,46000,-52.18994140625
1762339146.46978,47000,-49.42906951904297
1762339152.6408894,48000,-18.511693954467773
1762339156.5529957,49000,-25.59327507019043
1762339162.445838,50000,-26.29375457763672
1762339166.2605643,51000,-21.886690139770508
1762339172.4033117,52000,-45.130733489990234
1762339176.1250596,53000,-31.163883209228516
1762339182.2060544,54000,-32.08380126953125
1762339186.1582797,55000,-39.345947265625
1762339191.9907596,56000,-42.465206146240234
1762339195.8282716,57000,-44.52478790283203
1762339201.319495,58000,-29.363208770751953
1762339205.5661967,59000,-35.709930419921875
1762339212.1292577,60000,-29.660913467407227
1762339216.7883444,61000,-31.671369552612305
1762339223.881854,62000,-46.43479919433594
1762339227.6437309,63000,-26.95549774169922
1762339234.1208057,64000,-53.1514778137207
1762339237.8972404,65000,-45.910545349121094
1762339243.6021378,66000,-46.198974609375
1762339247.7654982,67000,-47.06690216064453
1762339254.2079773,68000,-22.654054641723633
1762339259.1840487,69000,-29.175466537475586
1762339266.2331955,70000,-30.708209991455078
1762339270.1380014,71000,-49.047096252441406
1762339276.5409331,72000,-21.16476058959961
1762339280.320038,73000,-34.54578399658203
1762339285.9363415,74000,-40.26947021484375
1762339290.101662,75000,-13.959980964660645
1762339296.4824069,76000,-35.20075988769531
1762339300.5488997,77000,-32.33232879638672
1762339306.2955453,78000,-25.691162109375
1762339310.1478152,79000,-59.40690612792969
1762339316.0383682,80000,-17.786148071289062
1762339319.9514759,81000,-32.936614990234375
1762339325.845229,82000,-35.431678771972656
1762339329.9916396,83000,-38.66058349609375
1762339336.0587115,84000,-46.33421325683594
1762339339.6917295,85000,-34.2200927734375
1762339343.8972032,86000,-16.58533477783203
1762339349.8847167,87000,-39.27047348022461
1762339353.6751595,88000,-47.50924301147461
1762339359.4954565,89000,-24.682987213134766
1762339363.4887166,90000,-6.031194686889648
1762339369.8585875,91000,-47.572452545166016
1762339373.8354397,92000,-13.896146774291992
1762339379.4711084,93000,-50.90350341796875
1762339383.5773392,94000,-41.801368713378906
1762339389.7951248,95000,-30.577058792114258
1762339393.6733367,96000,-30.30510902404785
1762339399.5167928,97000,-36.62453079223633
1762339403.9819686,98000,-22.647972106933594
1762339409.466865,99000,-32.7821159362793
1762339413.6122096,100000,-32.14105987548828
1762339419.3923984,101000,-56.88909149169922
1762339423.5088875,102000,-28.44773292541504
1762339429.1703,103000,-20.826108932495117
1762339433.0524912,104000,-42.81669235229492
1762339439.1792462,105000,-18.37785530090332
1762339443.0522363,106000,-17.103052139282227
1762339449.0280108,107000,-30.618135452270508
1762339452.9768293,108000,-42.6402473449707
1762339459.5874662,109000,-37.008392333984375
1762339463.453913,110000,-25.44122314453125
1762339469.4894385,111000,-25.221036911010742
1762339473.6338053,112000,-45.20479202270508
1762339479.7200823,113000,-38.657615661621094
1762339483.5311148,114000,-47.65153884887695
1762339489.2874882,115000,-21.252544403076172
1762339493.3882794,116000,-17.3867244720459
1762339499.9615967,117000,-33.670654296875
1762339504.429906,118000,-42.3263053894043
1762339510.8668993,119000,-49.79384994506836
1762339514.8778536,120000,-32.74872970581055
1762339520.8063107,121000,-48.18479537963867
1762339524.6877751,122000,-13.381433486938477
1762339530.8589408,123000,-35.356788635253906
1762339535.2573981,124000,-48.2631950378418
1762339540.6810982,125000,-37.9208869934082
1762339544.564878,126000,-29.772974014282227
1762339550.8373632,127000,-21.114179611206055
1762339554.7613828,128000,-23.1867733001709
1762339558.4265344,129000,-24.393503189086914
1762339564.5776277,130000,-23.663604736328125
1762339568.4559119,131000,-19.577838897705078
1762339574.235439,132000,-47.941627502441406
1762339578.3185227,133000,-37.21519470214844
1762339584.6719966,134000,-31.622121810913086
1762339589.0922267,135000,-26.640321731567383
1762339595.6503217,136000,-23.965423583984375
1762339599.624365,137000,-25.918716430664062
1762339606.08168,138000,-4.55443811416626
1762339609.9164495,139000,-33.286258697509766
1762339615.6495483,140000,-27.22871208190918
1762339619.7735484,141000,-29.359128952026367
1762339626.0703387,142000,-60.30208206176758
1762339629.922907,143000,-33.02425765991211
1762339635.7559068,144000,-32.11377716064453
1762339639.6328366,145000,-24.629045486450195
1762339645.3466225,146000,-50.7984504699707
1762339648.8075912,147000,-22.61709976196289
1762339653.5453339,148000,-47.74637222290039
1762339657.0904992,149000,-40.12553024291992
1762339662.1182156,150000,-37.84585952758789
1762339665.3924637,151000,-24.4849853515625
